,Symbol,2019Q1 %Change,2019Q2 %Change,2019Q3 %Change,2019Q4 %Change,2020Q1 %Change,Buy Straddle?,2020Q2 Date,2020Q2 %Change,2020Q2 Success
114,CPRI,11.53,-7.33,-0.58,2.9,7.96,2 maybe,2020-05-27,,NaN
115,CPRT,0.77,4.41,1.11,5.68,-7.18,1 yes,2020-05-20,,NaN
116,CRM,0.9,4.2,6.38,-2.51,-2.61,3 no,2020-06-02,,NaN
117,CSCO,2.84,3.49,-6.42,-5.98,-5.57,1 yes,2020-05-13,,NaN
118,CSX,-2.17,4.63,-7.79,2.84,-1.62,3 no,2020-04-22,4.94,yes
119,CTAS,-2.5,,,0.92,-1.55,3 no,,,NaN
120,CTL,-11.77,-3.67,-2.09,-4.02,-4.42,2 maybe,2020-05-06,,NaN
121,CTSH,-1.67,-9.79,2.79,,3.2,3 no,2020-05-07,,NaN
122,CTVA,,,-0.99,,,3 no,Multi,,NaN
123,CTXS,-7.93,-0.94,-3.75,3.19,3.3,3 no,2020-04-23,-5.55,yes
124,CVS,-8.89,4.54,4.03,3.13,1.12,2 maybe,2020-04-29,,NaN
125,CVX,1.74,0.42,-1.28,0.88,-1.43,3 no,2020-05-01,,NaN
126,CXO,-4.14,0.72,-19.43,10.78,3.58,2 maybe,2020-04-30,,NaN
127,D,0.26,-1.58,-0.64,0.85,0.78,3 no,2020-05-05,,NaN
128,DAL,2.22,3.55,1.31,-3.65,4.29,3 no,2020-04-22,3.38,no
129,DD,,,1.44,2.65,-4.25,3 no,2020-05-05,,NaN
130,DE,-1.82,-4.1,0.64,-4.61,7.28,1 yes,2020-05-22,,NaN
131,DFS,-1.57,2.01,3.76,1.47,-9.0,3 no,2020-04-22,-7.0,yes
132,DG,-7.49,5.3,7.51,1.31,4.75,1 yes,2020-05-28,,NaN
133,DGX,-6.01,1.34,5.74,0.44,1.86,3 no,2020-04-22,5.91,yes
134,DHI,-2.06,-5.89,0.77,4.31,1.09,3 no,2020-04-28,,NaN
135,DHR,0.74,2.69,1.29,-0.56,-1.07,3 no,Multi,,NaN
136,DIS,1.06,,,,,3 no,2020-05-05,,NaN
137,DISCA,-3.77,2.72,2.71,3.72,-2.4,3 no,2020-04-30,,NaN
138,DISCK,,1.21,3.93,2.71,-3.27,3 no,2020-05-06,,NaN
139,DISH,-6.3,0.26,-2.0,7.37,1.72,3 no,2020-05-01,,NaN
140,DLR,-0.97,-1.72,-0.37,-1.19,-0.49,3 no,2020-05-07,,NaN
141,DLTR,2.29,0.89,2.91,-14.8,-0.73,3 no,2020-05-28,,NaN
142,DOV,7.86,-1.47,0.68,7.48,-0.83,3 no,2020-04-21,2.72,no
143,DOW,,-1.05,,,3.86,3 no,2020-04-30,,NaN
144,DRE,-0.17,0.56,-0.56,1.04,-0.52,3 no,2020-04-29,,NaN
145,DRI,4.45,-2.18,-4.02,-3.67,7.26,2 maybe,2020-06-18,,NaN
146,DTE,-3.6,-0.42,0.49,0.36,0.68,3 no,,,NaN
147,DUK,-1.18,1.0,0.39,-0.95,-0.11,3 no,2020-05-12,,NaN
148,DVA,-0.74,-4.15,,8.3,1.51,3 no,2020-05-05,,NaN
149,DVN,9.08,2.68,-4.5,4.44,1.62,2 maybe,2020-05-05,,NaN
150,DXC,2.15,2.17,-24.88,7.04,2.51,3 no,2020-05-21,,NaN
151,EA,-14.46,6.88,6.13,-0.17,-0.8,2 maybe,2020-05-05,,NaN
152,EBAY,1.03,3.63,5.33,-8.75,-3.18,3 no,2020-04-29,,NaN
153,ECL,-0.99,-1.97,-0.62,-2.67,0.45,3 no,2020-04-28,,NaN
154,ED,0.86,0.5,1.33,-0.91,-3.56,3 no,2020-05-07,,NaN
155,EFX,-1.0,-2.43,-0.24,0.45,0.87,3 no,2020-04-20,-1.2,no
156,EIX,-0.64,-2.7,-0.24,-2.32,-2.38,3 no,2020-04-30,,NaN
157,EL,9.42,4.76,8.92,-3.59,4.8,1 yes,2020-05-01,,NaN
158,EMN,-1.61,-1.5,-2.02,-2.48,-1.41,3 no,2020-04-30,,NaN
