,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
34,AIV,Apartment Investment and Management Co,After Market Close,0.08,,,2020-05-07
16,AIW,Arlington Asset Investment Corp,Time Not Supplied,,,,2020-04-29
46,AIZP,Assurant Inc,After Market Close,,,,2020-05-05
32,AJG,Arthur J Gallagher & Co,After Market Close,1.74,,,2020-04-30
6,AJRD,Aerojet Rocketdyne Holdings Inc,TAS,0.44,,,2020-05-18
33,AJX,Great Ajax Corp,Time Not Supplied,0.28,,,2020-05-05
9,AKAM,Akamai Technologies Inc,After Market Close,1.15,,,2020-04-28
8,AKBA,Akebia Therapeutics Inc,Before Market Open,-0.62,,,2020-05-07
16,AKCA,Akcea Therapeutics Inc,After Market Close,-0.46,,,2020-05-05
4,AKER,Akers Biosciences Inc,Time Not Supplied,,,,2020-04-02
5,AKER,Akers Biosciences Inc,Time Not Supplied,,,,2020-05-18
31,AKR,Acadia Realty Trust,After Market Close,0.06,,,2020-05-05
8,AKS,AK Steel Holding Corp,Time Not Supplied,0.01,,,2020-04-27
11,AL,Air Lease Corp,After Market Close,1.26,,,2020-05-07
21,ALB,Albemarle Corp,After Market Close,0.83,,,2020-05-06
37,ALCO,Alico Inc,Time Not Supplied,,,,2020-05-05
34,ALE,ALLETE Inc,Before Market Open,1.14,,,2020-05-06
0,ALEC,Alector Inc,After Market Close,-0.43,,,2020-06-22
16,ALEX,Alexander & Baldwin Inc,After Market Close,0.06,,,2020-04-30
6,ALG,Alamo Group Inc,After Market Close,1.38,,,2020-05-25
28,ALGN,Align Technology Inc,After Market Close,2.25,,,2020-04-29
3,ALGT,Allegiant Travel Co,Time Not Supplied,0.9,,,2020-04-24
32,ALIM,Alimera Sciences Inc,After Market Close,-0.49,,,2020-04-29
12,ALK,Alaska Air Group Inc,Before Market Open,-1.08,,,2020-05-05
2,ALKS,Alkermes Plc,Before Market Open,-0.06,,,2020-04-29
3,ALKS,Alkermes Plc,TAS,-0.06,,,2020-04-29
32,ALL,Allstate Corp,After Market Close,3.42,,,2020-05-05
2,ALLE,Allegion PLC,TAS,0.89,1.04,16.85,2020-04-23
1,ALLK,Allakos Inc,After Market Close,-0.58,,,2020-05-25
3,ALLO,Allogene Therapeutics Inc,Before Market Open,-0.58,,,2020-05-25
36,ALLT,Allot Ltd,Before Market Open,-0.09,,,2020-05-05
3,ALLY,Ally Financial Inc,TAS,0.7,-0.44,-162.86,2020-04-20
49,ALNY,Alnylam Pharmaceuticals Inc,Before Market Open,-1.89,,,2020-05-06
1,ALPP,Alpine 4 Technologies Ltd,Time Not Supplied,,,,2020-05-11
36,ALRM,Alarm.com Holdings Inc,After Market Close,0.34,,,2020-05-07
17,ALRS,Alerus Financial Corp,After Market Close,0.32,,,2020-04-28
25,ALRS,Alerus Financial Corp,TAS,0.32,,,2020-04-29
1,ALSK,Alaska Communications Systems Group Inc,After Market Close,,,,2020-05-06
6,ALSN,Allison Transmission Holdings Inc,After Market Close,1.0,,,2020-05-04
5,ALT,Altimmune Inc,Time Not Supplied,-0.32,,,2020-05-12
17,ALTM,Altus Midstream Co,After Market Close,0.02,,,2020-05-06
4,ALV,Autoliv Inc,TAS,0.81,,,2020-04-24
10,ALX,Alexander's Inc,After Market Close,,,,2020-05-04
39,ALXN,Alexion Pharmaceuticals Inc,Before Market Open,2.7,,,2020-05-06
4,ALYE,Aly Energy Services Inc,Time Not Supplied,,,,2020-04-13
4,ALYE,Aly Energy Services Inc,Time Not Supplied,,,,2020-05-13
30,AM,Antero Midstream Corp,After Market Close,0.22,,,2020-04-29
20,AMAG,AMAG Pharmaceuticals Inc,Before Market Open,-0.02,,,2020-05-05
12,AMAL,Amalgamated Bank,Before Market Open,0.35,,,2020-04-30
4,AMAT,Applied Materials Inc,After Market Close,0.95,,,2020-05-14
0,AMBA,Ambarella Inc,Time Not Supplied,-0.01,,,2020-06-02
11,AMBC,Ambac Financial Group Inc,After Market Close,-0.53,,,2020-05-11
2,AMBO,Ambow Education Holding Ltd,After Market Close,,,,2020-04-22
12,AMC,AMC Entertainment Holdings Inc,Before Market Open,-1.44,,,2020-05-07
8,AMCI,AMCI Acquisition Corp,Time Not Supplied,,,,2020-05-13
35,AMCX,AMC Networks Inc,Before Market Open,1.89,,,2020-05-05
15,AMD,Advanced Micro Devices Inc,After Market Close,0.18,,,2020-04-28
17,AME,Ametek Inc,Before Market Open,0.97,,,2020-05-05
36,AMED,Amedisys Inc,After Market Close,0.97,,,2020-05-06
11,AMG,Affiliated Managers Group Inc,Before Market Open,3.08,,,2020-04-27
39,AMGN,Amgen Inc,After Market Close,3.77,,,2020-04-30
1,AMH,American Homes 4 Rent,After Market Close,0.05,,,2020-05-07
18,AMK,AssetMark Financial Holdings Inc,After Market Close,0.27,,,2020-05-05
1,AMKR,Amkor Technology Inc,After Market Close,0.15,,,2020-04-27
4,AMN,AMN Healthcare Services Inc,After Market Close,0.78,,,2020-05-11
5,AMNB,American National Bankshares Inc,TAS,0.63,0.77,22.22,2020-04-23
3,AMNF,Armanino Foods Of Distinction Inc,Time Not Supplied,,,,2020-04-16
4,AMP,Ameriprise Financial Inc,After Market Close,3.95,,,2020-05-06
0,AMPE,Ampio Pharmaceuticals Inc,After Market Close,-0.04,,,2020-05-08
0,AMRB,American River Bankshares,Before Market Open,0.24,0.24,,2020-04-16
11,AMRC,Ameresco Inc,After Market Close,0.07,,,2020-05-04
25,AMRC,Ameresco Inc,TAS,0.07,,,2020-05-05
1,AMRN,Amarin Corporation PLC,TAS,-0.08,,,2020-04-13
3,AMRN,Amarin Corporation PLC,Before Market Open,-0.08,,,2020-04-13
0,AMS,American Shared Hospital Services,TAS,,,,2020-04-02
1,AMS,American Shared Hospital Services,Time Not Supplied,,,,2020-04-02
0,AMSC,American Superconductor Corp,Time Not Supplied,-0.24,,,2020-06-03
13,AMSF,Amerisafe Inc,After Market Close,0.79,,,2020-04-29
20,AMT,American Tower Corp,Before Market Open,1.04,,,2020-04-29
19,AMTBB,Amerant Bancorp Inc,Before Market Open,,,,2020-04-28
6,AMTD,TD Ameritrade Holding Corp,TAS,0.87,0.86,-1.15,2020-04-22
22,AMTX,Aemetis Inc,Before Market Open,-0.34,,,2020-05-07
2,AMWD,American Woodmark Corp,Before Market Open,1.51,,,2020-05-26
6,AMZN,Amazon.com Inc,After Market Close,6.34,,,2020-04-30
2,AN,AutoNation Inc,Before Market Open,0.73,,,2020-04-24
0,ANAB,AnaptysBio Inc,Before Market Open,-0.63,,,2020-06-01
4,ANAT,American National Insurance Co,Time Not Supplied,,,,2020-05-01
42,ANDE,Andersons Inc,After Market Close,-0.26,,,2020-05-05
27,ANET,Arista Networks Inc,After Market Close,1.81,,,2020-05-05
0,ANF,Abercrombie & Fitch Co,Before Market Open,-1.22,,,2020-05-27
31,ANGI,ANGI Homeservices Inc,After Market Close,-0.03,,,2020-05-06
1,ANGO,AngioDynamics Inc,TAS,-0.03,0.01,133.33,2020-04-07
9,ANH,Anworth Mortgage Asset Corp,Time Not Supplied,0.09,,,2020-05-04
55,ANIK,Anika Therapeutics Inc,After Market Close,0.06,,,2020-05-07
11,ANSS,ANSYS Inc,After Market Close,0.8,,,2020-05-06
8,ANTM,Anthem Inc,TAS,6.48,,,2020-04-29
0,AOBC,American Outdoor Brands Corp,Time Not Supplied,0.34,,,2020-06-17
10,AON,Aon PLC,TAS,3.66,,,2020-05-01
11,AON,Aon PLC (Pre-Reincorporation),TAS,3.66,,,2020-05-01
3,AOS,A. O. Smith Corp,Before Market Open,0.35,,,2020-05-05
24,AOSL,Alpha and Omega Semiconductor Ltd,After Market Close,0.04,,,2020-05-05
27,AP,Ampco-Pittsburgh Corp,TAS,0.11,,,2020-05-06
15,APA,Apache Corp,After Market Close,-0.28,,,2020-05-06
8,APAM,Artisan Partners Asset Management Inc,After Market Close,0.62,,,2020-04-28
13,APD,Air Products and Chemicals Inc,TAS,2.06,2.21,7.28,2020-04-23
8,APEI,American Public Education Inc,After Market Close,0.17,,,2020-05-11
7,APH,Amphenol Corp,TAS,0.73,0.71,-2.74,2020-04-22
12,APHB,AmpliPhi Biosciences Corp,Time Not Supplied,,,,2020-05-04
35,APLE,Apple Hospitality REIT Inc,Time Not Supplied,0.1,,,2020-05-06
2,APLS,Apellis Pharmaceuticals Inc,After Market Close,-1.38,,,2020-05-25
5,APO,Apollo Global Management Inc,Before Market Open,0.48,,,2020-05-01
6,APOG,Apogee Enterprises Inc,TAS,0.35,0.51,45.71,2020-04-02
2,APOG,Apogee Enterprises Inc,Before Market Open,0.3,,,2020-06-25
13,APPF,AppFolio Inc,Time Not Supplied,0.06,,,2020-05-04
5,APPN,Appian Corp,After Market Close,-0.2,,,2020-05-07
27,APRN,Blue Apron Holdings Inc,Before Market Open,-1.5,,,2020-04-29
1,APT,Alpha Pro Tech Ltd,Time Not Supplied,,,,2020-05-04
10,APTS,Preferred Apartment Communities Inc,After Market Close,-0.76,,,2020-05-11
7,APTV,Aptiv PLC,Before Market Open,0.47,,,2020-05-04
3,APTX,Aptinyx Inc,Before Market Open,-0.33,,,2020-05-11
7,APY,Apergy Corp,After Market Close,0.06,,,2020-04-27
21,APYX,Apyx Medical Corp,Before Market Open,-0.25,,,2020-05-11
7,AQMS,Aqua Metals Inc,After Market Close,-0.05,,,2020-04-30
7,AQST,Aquestive Therapeutics Inc,After Market Close,-0.47,,,2020-05-05
79,AQUA,Evoqua Water Technologies Corp,Before Market Open,0.09,,,2020-05-06
22,AR,Antero Resources Corp,After Market Close,0.04,,,2020-04-29
11,ARA,American Renal Associates Holdings Inc,After Market Close,-0.22,,,2020-05-13
12,ARAV,Aravive Inc,Time Not Supplied,-0.35,,,2020-05-06
20,ARAY,Accuray Inc,After Market Close,-0.04,,,2020-04-28
47,ARC,ARC Document Solutions Inc,TAS,,,,2020-05-05
2,ARCB,ArcBest Corp,Before Market Open,-0.11,,,2020-05-05
19,ARCC,Ares Capital Corp,Before Market Open,0.43,,,2020-05-05
12,ARCH,Arch Coal Inc,Before Market Open,-1.12,-1.64,-46.43,2020-04-23
12,ARCO,Arcos Dorados Holdings Inc,Before Market Open,0.04,,,2020-05-13
